Date,Day of Week,Time,Item,Price,Tip
2024-04-24,Wednesday,19:40,Truffle Risotto,35,9.85
2024-05-17,Friday,19:01,Chocolate Souffle,20,2.29
2024-04-05,Friday,21:57,Creme Brulee,15,3.01
2024-11-17,Sunday,18:00,Truffle Risotto,35,7.81
2024-04-08,Monday,18:42,Foie Gras,50,6.24
2024-06-10,Monday,19:25,Chocolate Souffle,20,5.98
2024-03-19,Tuesday,17:30,Foie Gras,50,11.44
2024-11-02,Saturday,21:30,Chocolate Souffle,20,4.19
2024-10-07,Monday,17:38,Filet Mignon,45,9.76
2024-06-12,Wednesday,20:46,Creme Brulee,15,1.74
2024-07-15,Monday,20:09,Filet Mignon,45,11.75
2024-06-24,Monday,20:50,Duck Confit,40,8.8
2024-01-07,Sunday,17:19,Truffle Risotto,35,5.4
2024-10-25,Friday,17:01,Filet Mignon,45,7.68
2024-04-19,Friday,20:14,Lobster Thermidor,55,8.74
2024-01-28,Sunday,17:23,Truffle Risotto,35,4.57
2024-05-15,Wednesday,18:35,Truffle Risotto,35,5.27
2024-01-26,Friday,17:06,Lobster Thermidor,55,13.06
2024-06-09,Sunday,19:57,Foie Gras,50,10.95
2024-12-10,Tuesday,18:47,Truffle Risotto,35,9.15
2024-08-25,Sunday,19:21,Foie Gras,50,11.92
2024-11-26,Tuesday,17:41,Chocolate Souffle,20,2.87
2024-08-17,Saturday,18:39,Filet Mignon,45,4.78
2024-09-28,Saturday,17:46,Salmon en Papillote,30,5.21
2024-03-28,Thursday,20:26,Lobster Thermidor,55,11.49
2024-06-17,Monday,21:10,Creme Brulee,15,1.66
2024-04-05,Friday,20:02,Duck Confit,40,4.21
2024-05-17,Friday,19:42,Truffle Risotto,35,7.24
2024-09-26,Thursday,19:10,Creme Brulee,15,4.22
2024-08-21,Wednesday,21:09,Salmon en Papillote,30,8.79
2024-09-01,Sunday,18:07,Filet Mignon,45,12.9
2024-09-07,Saturday,20:19,Foie Gras,50,7.29
2024-02-07,Wednesday,20:42,Foie Gras,50,9.93
2024-09-14,Saturday,18:04,Foie Gras,50,13.44
2024-01-25,Thursday,18:19,Salmon en Papillote,30,5.11
2024-08-22,Thursday,18:15,Lobster Thermidor,55,6.38
2024-02-24,Saturday,19:38,Salmon en Papillote,30,8.83
2024-03-13,Wednesday,19:04,Creme Brulee,15,2.84
2024-10-09,Wednesday,21:28,Truffle Risotto,35,9.81
2024-01-04,Thursday,21:34,Chocolate Souffle,20,4.23
2024-01-14,Sunday,18:18,Chocolate Souffle,20,3.89
2024-04-13,Saturday,18:18,Truffle Risotto,35,3.72
2024-09-02,Monday,17:52,Truffle Risotto,35,9.93
2024-11-20,Wednesday,17:36,Chocolate Souffle,20,5.6
2024-05-04,Saturday,18:16,Creme Brulee,15,2.67
2024-06-25,Tuesday,19:38,Lobster Thermidor,55,7.95
2024-07-20,Saturday,17:16,Chocolate Souffle,20,5.71
2024-07-12,Friday,18:03,Chocolate Souffle,20,2.04
2024-07-21,Sunday,18:41,Lobster Thermidor,55,8.84
2024-12-22,Sunday,18:52,Truffle Risotto,35,8.88
2024-07-28,Sunday,18:15,Truffle Risotto,35,5.48
2024-01-12,Friday,19:00,Salmon en Papillote,30,7.98
2024-03-23,Saturday,18:10,Lobster Thermidor,55,9.72
2024-07-27,Saturday,19:22,Filet Mignon,45,12.14
2024-04-27,Saturday,21:10,Creme Brulee,15,2.19
2024-08-10,Saturday,19:35,Creme Brulee,15,2.56
2024-11-18,Monday,19:27,Lobster Thermidor,55,14.08
2024-04-23,Tuesday,17:50,Foie Gras,50,14.67
2024-02-14,Wednesday,19:43,Truffle Risotto,35,9.56
2024-11-05,Tuesday,20:35,Salmon en Papillote,30,3.83
2024-01-24,Wednesday,17:56,Salmon en Papillote,30,3.7
2024-01-18,Thursday,20:29,Duck Confit,40,7.12
2024-03-04,Monday,21:18,Filet Mignon,45,4.62
2024-08-12,Monday,20:16,Truffle Risotto,35,10.42
2024-01-28,Sunday,17:14,Creme Brulee,15,2.97
2024-03-19,Tuesday,19:38,Truffle Risotto,35,8.26
2024-02-18,Sunday,20:18,Filet Mignon,45,10.5
2024-09-07,Saturday,20:29,Filet Mignon,45,5.89
2024-03-25,Monday,19:54,Filet Mignon,45,8.31
2024-05-27,Monday,21:52,Lobster Thermidor,55,10.24
2024-06-10,Monday,19:15,Creme Brulee,15,3.09
2024-02-20,Tuesday,20:02,Truffle Risotto,35,7.01
2024-01-09,Tuesday,19:02,Chocolate Souffle,20,3.89
2024-10-02,Wednesday,17:56,Salmon en Papillote,30,3.1
2024-03-09,Saturday,20:04,Creme Brulee,15,3.25
2024-02-11,Sunday,19:43,Lobster Thermidor,55,15.91
2024-07-19,Friday,17:33,Foie Gras,50,11.52
2024-09-09,Monday,20:46,Lobster Thermidor,55,13.0
2024-07-13,Saturday,19:16,Creme Brulee,15,4.2
2024-08-22,Thursday,18:46,Lobster Thermidor,55,6.56
2024-10-20,Sunday,18:24,Foie Gras,50,5.63
2024-11-06,Wednesday,18:09,Chocolate Souffle,20,2.5
2024-02-14,Wednesday,21:25,Creme Brulee,15,2.07
2024-11-22,Friday,18:20,Filet Mignon,45,10.88
2024-03-03,Sunday,17:30,Salmon en Papillote,30,4.9
2024-06-08,Saturday,21:44,Foie Gras,50,5.56
2024-04-28,Sunday,18:06,Filet Mignon,45,11.13
2024-01-02,Tuesday,19:00,Filet Mignon,45,10.6
2024-12-08,Sunday,17:29,Lobster Thermidor,55,10.87
2024-03-10,Sunday,19:19,Chocolate Souffle,20,5.38
2024-07-26,Friday,20:01,Duck Confit,40,4.05
2024-06-28,Friday,18:44,Duck Confit,40,5.36
2024-12-04,Wednesday,21:19,Truffle Risotto,35,5.93
2024-09-14,Saturday,20:52,Lobster Thermidor,55,6.85
2024-02-18,Sunday,18:13,Creme Brulee,15,3.81
2024-12-05,Thursday,20:59,Chocolate Souffle,20,3.49
2024-05-18,Saturday,20:38,Filet Mignon,45,5.74
2024-04-20,Saturday,21:06,Salmon en Papillote,30,7.68
2024-11-06,Wednesday,20:51,Salmon en Papillote,30,4.7
2024-02-26,Monday,21:18,Foie Gras,50,10.23
2024-08-19,Monday,20:34,Creme Brulee,15,3.84
2024-04-11,Thursday,18:28,Foie Gras,50,9.46
2024-04-16,Tuesday,20:07,Duck Confit,40,10.17
2024-10-18,Friday,21:46,Foie Gras,50,9.33
2024-01-09,Tuesday,17:45,Creme Brulee,15,3.69
2024-01-05,Friday,19:37,Truffle Risotto,35,9.39
2024-12-05,Thursday,19:40,Foie Gras,50,7.2
2024-09-14,Saturday,18:09,Lobster Thermidor,55,12.59
2024-11-05,Tuesday,18:25,Filet Mignon,45,13.27
2024-02-22,Thursday,19:34,Lobster Thermidor,55,12.55
2024-01-11,Thursday,17:46,Creme Brulee,15,2.13
2024-08-27,Tuesday,20:00,Salmon en Papillote,30,5.71
2024-06-08,Saturday,19:36,Creme Brulee,15,2.9
2024-07-15,Monday,19:36,Lobster Thermidor,55,12.35
2024-09-19,Thursday,18:58,Truffle Risotto,35,3.55
2024-11-01,Friday,20:07,Lobster Thermidor,55,10.85
2024-04-20,Saturday,18:35,Foie Gras,50,7.54
2024-01-15,Monday,19:30,Lobster Thermidor,55,7.59
2024-05-16,Thursday,20:11,Foie Gras,50,6.01
2024-02-27,Tuesday,21:46,Salmon en Papillote,30,8.61
2024-09-26,Thursday,20:55,Lobster Thermidor,55,12.63
2024-01-06,Saturday,17:23,Chocolate Souffle,20,3.11
2024-07-16,Tuesday,18:04,Salmon en Papillote,30,5.09
2024-08-14,Wednesday,17:42,Chocolate Souffle,20,2.28
2024-11-22,Friday,21:23,Filet Mignon,45,6.01
2024-03-01,Friday,17:18,Salmon en Papillote,30,8.69
2024-03-03,Sunday,20:56,Lobster Thermidor,55,9.33
2024-03-19,Tuesday,17:14,Filet Mignon,45,11.05
2024-03-13,Wednesday,21:43,Chocolate Souffle,20,4.3
2024-01-14,Sunday,17:47,Duck Confit,40,6.96
2024-04-27,Saturday,18:38,Truffle Risotto,35,5.04
2024-12-06,Friday,21:19,Salmon en Papillote,30,5.75
2024-09-27,Friday,18:15,Lobster Thermidor,55,9.39
2024-10-14,Monday,17:25,Filet Mignon,45,7.2
2024-02-13,Tuesday,17:16,Lobster Thermidor,55,7.26
2024-10-25,Friday,18:47,Duck Confit,40,4.9
2024-04-21,Sunday,17:47,Filet Mignon,45,12.1
2024-12-09,Monday,19:38,Foie Gras,50,10.71
2024-07-19,Friday,19:22,Duck Confit,40,11.21
2024-03-14,Thursday,21:01,Chocolate Souffle,20,5.73
2024-01-25,Thursday,19:04,Foie Gras,50,7.43
2024-12-26,Thursday,18:49,Lobster Thermidor,55,12.62
2024-10-12,Saturday,17:30,Truffle Risotto,35,6.83
2024-01-15,Monday,20:48,Creme Brulee,15,1.59
2024-04-17,Wednesday,18:43,Foie Gras,50,8.84
2024-06-28,Friday,18:44,Truffle Risotto,35,7.83
2024-07-05,Friday,20:30,Foie Gras,50,12.65
2024-01-13,Saturday,17:15,Salmon en Papillote,30,7.11
2024-05-24,Friday,20:30,Truffle Risotto,35,7.67
2024-01-20,Saturday,19:27,Duck Confit,40,4.85
2024-05-19,Sunday,18:13,Duck Confit,40,10.59
2024-11-17,Sunday,17:44,Salmon en Papillote,30,7.23
2024-11-13,Wednesday,18:19,Chocolate Souffle,20,5.33
2024-05-18,Saturday,19:55,Truffle Risotto,35,8.67
2024-12-20,Friday,19:11,Lobster Thermidor,55,6.25
2024-06-16,Sunday,19:29,Salmon en Papillote,30,7.02
2024-08-03,Saturday,20:13,Filet Mignon,45,10.67
2024-02-09,Friday,20:58,Duck Confit,40,9.36
2024-08-11,Sunday,21:52,Chocolate Souffle,20,5.62
2024-09-23,Monday,17:40,Filet Mignon,45,9.95
2024-07-08,Monday,17:18,Creme Brulee,15,3.39
2024-10-13,Sunday,17:43,Salmon en Papillote,30,3.0
2024-02-26,Monday,17:45,Chocolate Souffle,20,4.95
2024-06-14,Friday,18:03,Salmon en Papillote,30,8.27
2024-07-26,Friday,20:12,Foie Gras,50,8.84
2024-01-28,Sunday,20:25,Truffle Risotto,35,4.12
