Date,Time,Day of Week,Item,Price,Tip,Cost,Server
2024-03-05,15:59,Tuesday,Soup,36.01,7.88,4.25,Charlie
2024-03-30,20:4,Saturday,Soup,25.27,5.3,10.87,Jack
2024-03-08,11:1,Friday,Sandwich,16.27,3.43,13.85,Grace
2024-03-20,21:16,Wednesday,Burger,11.37,2.43,13.23,Charlie
2024-03-08,16:29,Friday,Steak,36.22,6.63,7.74,Bob
2024-03-19,15:6,Tuesday,Salad,42.55,8.54,12.84,Bob
2024-03-10,19:34,Sunday,Pizza,21.23,4.86,13.63,Alice
2024-03-03,15:3,Sunday,Steak,22.56,3.49,11.33,Jack
2024-03-27,18:58,Wednesday,Pizza,12.6,1.92,13.72,David
2024-03-21,19:45,Thursday,Pizza,27.96,4.26,3.73,Bob
2024-03-21,20:47,Thursday,Ramen,11.36,2.82,8.03,Emma
2024-03-10,20:59,Sunday,Sushi,24.23,5.03,12.19,Charlie
2024-03-25,17:20,Monday,Pasta,15.69,3.2,12.13,Charlie
2024-03-13,13:49,Wednesday,Soup,39.59,7.48,11.89,Charlie
2024-03-28,13:58,Thursday,Steak,44.64,7.49,12.05,Jack
2024-03-18,18:55,Monday,Ramen,11.82,2.71,7.23,Jack
2024-03-24,13:11,Sunday,Ramen,48.65,10.57,4.67,Bob
2024-03-14,18:32,Thursday,Burger,48.67,11.42,8.93,Jack
2024-03-14,21:8,Thursday,Pasta,35.16,8.41,5.96,Henry
2024-03-03,11:33,Sunday,Pasta,22.03,4.69,9.6,Grace
2024-03-24,15:12,Sunday,Pizza,15.13,2.37,6.23,Grace
2024-03-15,17:29,Friday,Burger,23.04,3.74,7.1,Frank
2024-03-06,18:18,Wednesday,Sushi,10.06,2.0,10.17,David
2024-03-27,12:22,Wednesday,Ramen,28.58,5.27,5.61,Charlie
2024-03-14,14:19,Thursday,Tacos,11.34,2.63,3.2,Henry
2024-03-10,11:11,Sunday,Burger,16.8,2.63,14.81,Jack
2024-03-11,13:52,Monday,Salad,47.51,9.87,4.83,Charlie
2024-03-18,11:37,Monday,Soup,48.93,7.61,13.52,Ivy
2024-03-05,15:1,Tuesday,Sushi,11.85,2.07,4.29,Jack
2024-03-05,13:38,Tuesday,Sandwich,25.35,5.47,11.43,David
2024-03-12,19:47,Tuesday,Pizza,48.94,7.6,7.75,Frank
2024-03-23,11:53,Saturday,Burger,24.71,5.34,10.68,Alice
2024-03-26,15:49,Tuesday,Sushi,49.91,11.85,6.78,Charlie
2024-03-13,20:20,Wednesday,Sushi,35.82,8.31,7.75,Ivy
2024-03-25,21:54,Monday,Salad,47.34,10.65,5.29,Ivy
2024-03-19,14:57,Tuesday,Ramen,20.72,5.07,13.51,Ivy
2024-03-10,21:56,Sunday,Steak,22.14,4.89,8.83,Frank
2024-03-12,19:7,Tuesday,Soup,12.44,2.28,6.9,Jack
2024-03-30,13:20,Saturday,Salad,24.46,5.2,14.59,Jack
2024-03-31,17:57,Sunday,Burger,31.12,5.21,10.8,Henry
2024-03-14,19:3,Thursday,Soup,43.89,9.0,5.75,David
2024-03-11,12:7,Monday,Pasta,31.44,5.2,5.09,Grace
2024-03-25,19:56,Monday,Burger,35.45,7.04,4.84,Charlie
2024-03-09,16:1,Saturday,Steak,21.21,3.73,5.95,Bob
2024-03-01,21:51,Friday,Soup,17.38,2.67,12.94,Alice
2024-03-17,12:46,Sunday,Sandwich,34.98,8.48,14.09,David
2024-03-30,16:35,Saturday,Burger,39.22,8.72,6.1,Henry
2024-03-08,19:48,Friday,Sandwich,36.19,5.9,8.03,Bob
2024-03-06,11:44,Wednesday,Ramen,44.37,10.01,12.46,Jack
2024-03-11,19:0,Monday,Ramen,15.97,3.67,14.52,Henry
2024-03-25,14:9,Monday,Tacos,11.29,2.31,7.33,David
2024-03-18,14:26,Monday,Sushi,35.94,6.74,8.13,Alice
2024-03-18,21:25,Monday,Salad,25.98,6.09,6.47,Bob
2024-03-25,15:19,Monday,Steak,44.49,10.2,3.21,Charlie
2024-03-09,19:1,Saturday,Sandwich,36.82,5.86,5.05,Ivy
2024-03-31,17:36,Sunday,Soup,45.42,6.95,14.25,Ivy
2024-03-10,12:42,Sunday,Tacos,46.73,11.36,9.33,Emma
2024-03-27,21:17,Wednesday,Pizza,34.17,6.75,11.58,Charlie
2024-03-29,21:0,Friday,Pasta,10.48,2.5,4.65,Bob
2024-03-16,18:20,Saturday,Tacos,18.75,3.71,13.15,Emma
2024-03-19,12:13,Tuesday,Sandwich,42.68,6.72,7.85,Bob
2024-03-23,21:17,Saturday,Salad,11.59,2.53,5.78,Ivy
2024-03-03,13:37,Sunday,Soup,24.27,3.68,13.76,Charlie
2024-03-23,15:48,Saturday,Steak,40.96,6.28,13.79,Alice
2024-03-27,19:56,Wednesday,Ramen,46.37,8.51,4.84,Henry
2024-03-25,17:42,Monday,Salad,17.39,3.51,3.8,Ivy
2024-03-23,21:59,Saturday,Steak,39.57,6.25,6.15,David
2024-03-17,12:32,Sunday,Tacos,15.95,3.95,3.75,Frank
2024-03-03,12:12,Sunday,Pasta,23.3,4.67,12.8,Alice
2024-03-16,13:56,Saturday,Sandwich,10.19,1.55,5.7,Grace
2024-03-06,16:0,Wednesday,Steak,38.56,8.67,14.27,Frank
2024-03-29,21:39,Friday,Burger,45.5,9.4,14.97,Henry
2024-03-09,12:25,Saturday,Soup,25.13,4.41,10.96,David
2024-03-20,20:57,Wednesday,Sushi,13.77,2.34,8.4,Henry
2024-03-22,17:49,Friday,Pasta,18.32,3.56,5.46,Charlie
2024-03-15,20:5,Friday,Pizza,44.25,7.64,13.86,Jack
2024-03-19,20:19,Tuesday,Pasta,14.48,2.36,6.26,Jack
2024-03-05,14:54,Tuesday,Steak,44.11,8.04,5.85,Alice
2024-03-01,15:28,Friday,Tacos,28.08,5.38,5.51,Emma
2024-03-25,20:37,Monday,Soup,21.42,4.21,4.1,David
2024-03-22,12:2,Friday,Ramen,35.52,6.16,14.19,Bob
2024-03-13,20:11,Wednesday,Soup,47.81,8.38,5.27,Bob
2024-03-24,21:54,Sunday,Pizza,38.34,7.35,8.76,Bob
2024-03-11,21:17,Monday,Soup,22.97,4.75,4.26,David
2024-03-27,15:9,Wednesday,Ramen,23.79,5.62,13.44,David
2024-03-28,17:43,Thursday,Tacos,35.83,5.91,13.6,Alice
2024-03-07,14:0,Thursday,Pasta,27.79,4.81,14.59,Ivy
2024-03-29,18:19,Friday,Steak,39.91,6.58,4.04,Grace
2024-03-30,14:9,Saturday,Salad,24.39,3.86,5.28,Henry
2024-03-29,16:41,Friday,Burger,30.81,6.91,10.24,Frank
2024-03-15,17:23,Friday,Steak,13.86,2.62,13.12,Henry
2024-03-09,21:40,Saturday,Pizza,44.0,9.18,9.47,Henry
2024-03-19,21:57,Tuesday,Salad,48.52,10.43,3.77,Charlie
2024-03-20,12:53,Wednesday,Sushi,47.53,10.4,10.12,Henry
2024-03-29,15:35,Friday,Sandwich,22.09,4.53,9.11,Ivy
2024-03-19,14:11,Tuesday,Pizza,30.83,7.13,10.79,Frank
2024-03-20,21:36,Wednesday,Ramen,31.03,7.65,7.94,David
2024-03-31,13:6,Sunday,Burger,45.65,8.41,12.22,David
2024-03-13,16:23,Wednesday,Ramen,15.65,2.38,3.86,Grace
2024-03-25,20:54,Monday,Sushi,13.41,2.34,5.53,Frank
2024-03-09,17:38,Saturday,Burger,23.36,4.46,9.62,Jack
2024-03-11,19:4,Monday,Ramen,21.7,5.33,3.98,Henry
2024-03-06,17:42,Wednesday,Pizza,23.89,5.58,3.97,Frank
2024-03-13,18:15,Wednesday,Steak,29.75,6.36,4.1,Bob
2024-03-21,15:8,Thursday,Sushi,20.22,4.72,8.26,Grace
2024-03-24,14:42,Sunday,Sandwich,47.82,10.05,14.32,David
2024-03-08,16:48,Friday,Sushi,27.53,5.19,12.46,Henry
2024-03-14,21:54,Thursday,Pasta,15.91,2.62,11.87,Jack
2024-03-03,18:11,Sunday,Pizza,46.34,8.06,6.29,David
2024-03-24,21:44,Sunday,Steak,17.88,2.86,11.01,Charlie
2024-03-26,19:8,Tuesday,Pizza,29.36,6.92,4.13,Frank
